Year,Month,Day,Date,Proper Date,Time,Unix Time,Epoch time(tm_year),Epoch time(tm_mon),Epoch time(tm_mday),Epoch time(tm_hour),Epoch time(tm_min),Epoch time(tm_sec),Epoch time(tm_wday),Epoch time(tm_yday),Epoch time(tm_isdst),Time Zone,Time Zone Name,Type (Starting or Ending)
2021,October,Sunday,10,10:10:2021,13:19:02,1633852142,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Sunday,10,10:10:2021,16:51:20,1633864880,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Sunday,10,10:10:2021,17:21:46,1633866706,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Sunday,10,10:10:2021,20:53:10,1633879390,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Sunday,10,10:10:2021,21:18:38,1633880918,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Sunday,10,10:10:2021,21:20:28,1633881028,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Sunday,10,10:10:2021,21:25:40,1633881340,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Monday,11,11:10:2021,07:55:40,1633919140,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Monday,11,11:10:2021,11:40:11,1633932611,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Monday,11,11:10:2021,12:19:07,1633934947,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Monday,11,11:10:2021,14:26:41,1633942601,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Tuesday,12,12:10:2021,07:52:35,1634005355,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Tuesday,12,12:10:2021,08:13:18,1634006598,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Tuesday,12,12:10:2021,08:27:04,1634007424,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Tuesday,12,12:10:2021,11:32:00,1634018520,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Tuesday,12,12:10:2021,12:00:57,1634020257,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Tuesday,12,12:10:2021,12:32:48,1634022168,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Tuesday,12,12:10:2021,12:44:05,1634022845,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Tuesday,12,12:10:2021,13:30:21,1634025621,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Tuesday,12,12:10:2021,13:34:28,1634025868,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Tuesday,12,12:10:2021,13:41:44,1634026304,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Tuesday,12,12:10:2021,14:43:32,1634030012,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Tuesday,12,12:10:2021,18:55:13,1634045113,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,13,13:10:2021,11:30:18,1634104818,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,13,13:10:2021,12:26:03,1634108163,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,13,13:10:2021,13:39:51,1634112591,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,13,13:10:2021,14:39:40,1634116180,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,13,13:10:2021,15:35:48,1634119548,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,13,13:10:2021,15:41:13,1634119873,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Thursday,14,14:10:2021,07:47:39,1634177859,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Thursday,14,14:10:2021,09:12:48,1634182968,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Thursday,14,14:10:2021,11:45:20,1634192120,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Thursday,14,14:10:2021,13:23:19,1634197999,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Saturday,16,16:10:2021,14:13:31,1634373811,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Saturday,16,16:10:2021,14:33:17,1634374997,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Saturday,16,16:10:2021,14:36:36,1634375196,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Saturday,16,16:10:2021,16:50:18,1634383218,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Tuesday,19,19:10:2021,18:51:16,1634649676,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Tuesday,19,19:10:2021,21:17:59,1634658479,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,20,20:10:2021,08:36:05,1634699165,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,20,20:10:2021,10:39:50,1634706590,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,20,20:10:2021,10:59:00,1634707740,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,20,20:10:2021,12:35:04,1634713504,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,20,20:10:2021,13:02:43,1634715163,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,20,20:10:2021,13:19:40,1634716180,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,20,20:10:2021,13:32:47,1634716967,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,20,20:10:2021,14:06:08,1634718968,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Wednesday,20,20:10:2021,17:34:17,1634731457,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Wednesday,20,20:10:2021,19:08:12,1634737092,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Thursday,21,21:10:2021,08:26:09,1634784969,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Thursday,21,21:10:2021,09:34:17,1634789057,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Thursday,21,21:10:2021,09:55:13,1634790313,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Thursday,21,21:10:2021,13:57:50,1634804870,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Thursday,21,21:10:2021,18:14:49,1634820289,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Thursday,21,21:10:2021,19:48:56,1634825936,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Friday,22,22:10:2021,18:19:57,1634906997,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Friday,22,22:10:2021,19:23:34,1634910814,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Saturday,23,23:10:2021,09:42:00,1634962320,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Saturday,23,23:10:2021,11:01:07,1634967067,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Saturday,23,23:10:2021,13:48:47,1634977127,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Saturday,23,23:10:2021,14:47:47,1634980667,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Saturday,23,23:10:2021,19:33:29,1634997809,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Saturday,23,23:10:2021,20:29:49,1635001189,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Sunday,24,24:10:2021,12:53:35,1635060215,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Sunday,24,24:10:2021,13:34:24,1635062664,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
2021,October,Sunday,24,24:10:2021,14:33:26,1635066206,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Starting
2021,October,Sunday,24,24:10:2021,15:45:32,1635070532,1970,1,1,0,0,0,3,1,0,+0530, India Standard Time, Ending
